experiment_accession	experiment_title	organism_name	instrument	submitter	study_accession	study_title	sample_accession	sample_title	total_size_mb	total_runs	total_spots	total_bases	library_name	library_strategy	library_source	library_selection	bioproject	publication_url	publication_doi	publication_title	excluded	exclusion_criteria	oligo_dt_annotated	blood_meal_hour	sex.x	contam	pool_size	tissue.x	source	run_accession	experiment_desc	organism_taxid	library_layout	instrument_model	instrument_model_desc	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue.y	dev_stage	sex.y	biosamplemodel	age	analysis_type	data_type	gssr_id	library_type	lsid	material_type	product_order	product_part_number	project	research_project	root_sample_id	sample_id	work_request	rna isolation method	collection date	strain	specific host	"geographic location (country and/or sea, region)"	analyte type	isolation-source	rna isolation	sample_type	tissue_type	label	id	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRX15140807	Long-read transcriptome of female Amblyomma americanum salivary glands	Amblyomma americanum	Sequel II	Arcadia Science	SRP373454	Amblyomma americanum salivary gland long-read transcriptome	SRS12884154	NA	353.07	1	307541	1343427230	Aa_af_sg_isoseq_1	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PRJNA834823	https://research.arcadiascience.com/pub/data-set-transcriptome-proteome-amblyomma-americanum/release/2	https://doi.org/10.57844/arcadia-3hyh-3h83	"Robust long-read saliva transcriptome and proteome from the lone star tick, Amblyomma americanum"	keep	NA	oligo_dt	0	female	NA	10	salivary_gland	unknown	SRR19070014	Long-read transcriptome of female Amblyomma americanum salivary glands	6943	SINGLE	Sequel II	PACBIO_SMRT	370220871	307541	1343427230	subreads_ccs.flnc.polished.hq.hq.fastq	SRR19070014.lite	337486584	2022-08-08T22:51:55Z	995ef71bbb6da67a2be473f13153e88c	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR19070014/SRR19070014.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19070/SRR19070014/SRR19070014.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19070/SRR19070014/SRR19070014.lite.1	worldwide	anonymous	gs://sra-pub-zq-6/SRR19070014/SRR19070014.lite.1	gs.US	gcp identity	NA	10_ticks	N/A	small mammals	Laboratory	2/19/20	USA:Oklahoma	salivary gland	adult	female	Invertebrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/014/SRR19070014/SRR19070014_subreads.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/014/SRR19070014/SRR19070014_subreads.fastq.gz	NA	NA
SRX2239247	RNA-seq of Amblyomma americanum: adult male (Ehrlichia chaffeensis-exposed/uninfected)	Amblyomma americanum	Illumina HiSeq 2500	Kansas State University	SRP091404	Amblyomma americanum Raw sequence reads	SRS1738964	NA	2537.65	1	36943717	3731315417	Um	RNA-Seq	TRANSCRIPTOMIC	cDNA	PRJNA327120	https://www.sciencedirect.com/science/article/abs/pii/S1226861518301146?via%3Dihub	https://doi.org/10.1016/j.aspen.2018.05.009	"The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis"	keep	NA	unknown	168	male	white tail deer; rabbit	3	whole	Oklahoma State University	SRR4416255	RNA-seq of Amblyomma americanum: adult male (Ehrlichia chaffeensis-exposed/uninfected)	6943	SINGLE	Illumina HiSeq 2500	ILLUMINA	2660920533	36943717	3731315417	Index12.fastq	SRR4416255.sralite	1009684191	2020-06-22T09:22:15Z	677a40039d9071b0dcb059c0b24d661a	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-1/SRR4416255/SRR4416255.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416255.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416255.sralite.1	worldwide	anonymous	gs://sra-pub-zq-4/SRR4416255/SRR4416255.zq.1	gs.US	gcp identity	NA	NA	missing	white tailed deer	NA	4/30/13	Missing	whole body	NA	male	Invertebrate	Adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR441/005/SRR4416255/SRR4416255.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR441/005/SRR4416255/SRR4416255.fastq.gz	NA	NA
SRX2239246	RNA-seq of Amblyomma americanum: adult female (Ehrlichia chaffeensis-exposed/uninfected)	Amblyomma americanum	Illumina HiSeq 2500	Kansas State University	SRP091404	Amblyomma americanum Raw sequence reads	SRS1738965	NA	2280.42	1	33107132	3343820332	Uf	RNA-Seq	TRANSCRIPTOMIC	cDNA	PRJNA327120	https://www.sciencedirect.com/science/article/abs/pii/S1226861518301146?via%3Dihub	https://doi.org/10.1016/j.aspen.2018.05.009	"The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis"	keep	NA	unknown	168	female	white tail deer; rabbit	3	whole	Oklahoma State University	SRR4416254	RNA-seq of Amblyomma americanum: adult female (Ehrlichia chaffeensis-exposed/uninfected)	6943	SINGLE	Illumina HiSeq 2500	ILLUMINA	2391190661	33107132	3343820332	Index7.fastq	SRR4416254.sralite	905904788	2020-06-22T09:26:19Z	31326ffc22a2af9701bfdc505061afc5	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR4416254/SRR4416254.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416254/SRR4416254.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416254/SRR4416254.sralite.1	worldwide	anonymous	gs://sra-pub-zq-1/SRR4416254/SRR4416254.zq.1	gs.US	gcp identity	NA	NA	missing	white tailed deer	NA	4/30/13	Missing	whole body	NA	female	Invertebrate	Adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR441/004/SRR4416254/SRR4416254.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR441/004/SRR4416254/SRR4416254.fastq.gz	NA	NA
SRX2239245	RNA-seq of Amblyomma americanum: adult male (Ehrlichia chaffeensis-exposed/infected)	Amblyomma americanum	Illumina HiSeq 2500	Kansas State University	SRP091404	Amblyomma americanum Raw sequence reads	SRS1738963	NA	2418.55	1	35128945	3548023445	Im	RNA-Seq	TRANSCRIPTOMIC	cDNA	PRJNA327120	https://www.sciencedirect.com/science/article/abs/pii/S1226861518301146?via%3Dihub	https://doi.org/10.1016/j.aspen.2018.05.009	"The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis"	keep	NA	unknown	168	male	white tail deer; rabbit	3	whole	Oklahoma State University	SRR4416253	RNA-seq of Amblyomma americanum: adult male (Ehrlichia chaffeensis-exposed/infected)	6943	SINGLE	Illumina HiSeq 2500	ILLUMINA	2536037280	35128945	3548023445	Index6.fastq	SRR4416253.sralite	960608643	2020-06-22T18:02:32Z	5d3b1d3d5eec99b87ed162a73e8ffde0	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-1/SRR4416253/SRR4416253.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416253.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416253.sralite.1	worldwide	anonymous	gs://sra-pub-zq-3/SRR4416253/SRR4416253.zq.1	gs.US	gcp identity	NA	NA	missing	white tailed deer	NA	4/30/13	Missing	whole body	NA	male	Invertebrate	Adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR441/003/SRR4416253/SRR4416253.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR441/003/SRR4416253/SRR4416253.fastq.gz	NA	NA
SRX2239244	RNA-seq of Amblyomma americanum: adult female (Ehrlichia chaffeensis-exposed/infected)	Amblyomma americanum	Illumina HiSeq 2500	Kansas State University	SRP091404	Amblyomma americanum Raw sequence reads	SRS1738966	NA	2464.15	1	35850648	3620915448	If	RNA-Seq	TRANSCRIPTOMIC	cDNA	PRJNA327120	https://www.sciencedirect.com/science/article/abs/pii/S1226861518301146?via%3Dihub	https://doi.org/10.1016/j.aspen.2018.05.009	"The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis"	keep	NA	unknown	168	female	white tail deer; rabbit	3	whole	Oklahoma State University	SRR4416252	RNA-seq of Amblyomma americanum: adult female (Ehrlichia chaffeensis-exposed/infected)	6943	SINGLE	Illumina HiSeq 2500	ILLUMINA	2583847059	35850648	3620915448	Index5.fastq	SRR4416252.sralite	980156517	2020-06-22T09:22:22Z	9a79ceb55981f1eaae2034cc74aca46e	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR4416252/SRR4416252.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416252/SRR4416252.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416252/SRR4416252.sralite.1	worldwide	anonymous	gs://sra-pub-zq-5/SRR4416252/SRR4416252.zq.1	gs.US	gcp identity	NA	NA	missing	white tailed deer	NA	4/30/13	Missing	whole body	NA	female	Invertebrate	Adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR441/002/SRR4416252/SRR4416252.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR441/002/SRR4416252/SRR4416252.fastq.gz	NA	NA
SRX2239243	RNA-seq of Amblyomma americanum: adult male (Ehrlichia chaffeensis non-exposed)	Amblyomma americanum	Illumina HiSeq 2500	Kansas State University	SRP091404	Amblyomma americanum Raw sequence reads	SRS1738962	NA	2710.38	1	39445131	3983958231	NEm	RNA-Seq	TRANSCRIPTOMIC	cDNA	PRJNA327120	https://www.sciencedirect.com/science/article/abs/pii/S1226861518301146?via%3Dihub	https://doi.org/10.1016/j.aspen.2018.05.009	"The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis"	keep	NA	unknown	168	male	white tail deer; rabbit	3	whole	Oklahoma State University	SRR4416251	RNA-seq of Amblyomma americanum: adult male (Ehrlichia chaffeensis non-exposed)	6943	SINGLE	Illumina HiSeq 2500	ILLUMINA	2842039543	39445131	3983958231	Index4.fastq	SRR4416251.sralite	1077308653	2020-06-22T09:25:36Z	cc31634ec9ff3b529478cbca4fcfd504	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR4416251/SRR4416251.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416251.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416251.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR4416251/SRR4416251.zq.1	gs.US	gcp identity	NA	NA	missing	rabbit	NA	3/25/14	Missing	whole body	NA	male	Invertebrate	Adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR441/001/SRR4416251/SRR4416251.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR441/001/SRR4416251/SRR4416251.fastq.gz	NA	NA
SRX2239242	RNA-seq of Amblyomma americanum: adult female (Ehrlichia chaffeensis non-exposed)	Amblyomma americanum	Illumina HiSeq 2500	Kansas State University	SRP091404	Amblyomma americanum Raw sequence reads	SRS1738961	NA	1952.59	1	28403332	2868736532	NEf	RNA-Seq	TRANSCRIPTOMIC	cDNA	PRJNA327120	https://www.sciencedirect.com/science/article/abs/pii/S1226861518301146?via%3Dihub	https://doi.org/10.1016/j.aspen.2018.05.009	"The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis"	keep	NA	unknown	168	female	white tail deer; rabbit	3	whole	Oklahoma State University	SRR4416250	RNA-seq of Amblyomma americanum: adult female (Ehrlichia chaffeensis non-exposed)	6943	SINGLE	Illumina HiSeq 2500	ILLUMINA	2047441687	28403332	2868736532	Index2.fastq	SRR4416250.sralite	778460606	2020-06-21T07:24:30Z	c83fc72b5bae6a1df01f0491dc351fa5	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-6/SRR4416250/SRR4416250.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416250.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416250.sralite.1	worldwide	anonymous	gs://sra-pub-zq-3/SRR4416250/SRR4416250.zq.1	gs.US	gcp identity	NA	NA	missing	rabbit	NA	3/25/14	Missing	whole body	NA	female	Invertebrate	Adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR441/000/SRR4416250/SRR4416250.fastq.gz	NA	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR441/000/SRR4416250/SRR4416250.fastq.gz	NA	NA
SRX841378	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205940' containing sample 'AAE2-2'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052091	Arthropod Cell Line RNA Seq	SRS817536	NA	148.91	1	1704302	259053904	Solexa-205940	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238782	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1756449	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205940' containing sample 'AAE2-2'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	156139697	1704302	259053904	H7A21ADXX131215.2.tagged_559.bam	SRR1756449.sralite	65111038	2020-06-23T08:04:56Z	2d68bc67eab36564e238fad6c19d0409	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-6/SRR1756449/SRR1756449.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756449/SRR1756449.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756449/SRR1756449.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1756449/SRR1756449.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448005	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2I	RNA:Total RNA	PDO-2348	P-RNA-0001	G50974	RP-510	SM-49JMW	SM-57M2I	39145	missing	9/14/00	AAE2-2	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/009/SRR1756449/SRR1756449_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/009/SRR1756449/SRR1756449_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/009/SRR1756449/SRR1756449_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/009/SRR1756449/SRR1756449_2.fastq.gz
SRX841368	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205939' containing sample 'AAE2-1'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052078	Arthropod Cell Line RNA Seq	SRS817523	NA	310.99	2	3542483	538457416	Solexa-205939	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238781	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1756433	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205939' containing sample 'AAE2-1'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	326092600	1782807	270986664	H7A2CADXX131213.2.tagged_851.bam	SRR1756433.sralite	68131996	2020-06-21T22:39:44Z	014993df9ae3bfa3527abc9571205539	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-1/SRR1756433/SRR1756433.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756433/SRR1756433.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756433/SRR1756433.sralite.1	worldwide	anonymous	gs://sra-pub-zq-3/SRR1756433/SRR1756433.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448004	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2H	RNA:Total RNA	PDO-2348	P-RNA-0001	G50973	RP-510	SM-49JMV	SM-57M2H	39145	missing	9/14/00	AAE2-1	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/003/SRR1756433/SRR1756433_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/003/SRR1756433/SRR1756433_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/003/SRR1756433/SRR1756433_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/003/SRR1756433/SRR1756433_2.fastq.gz
SRX841368	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205939' containing sample 'AAE2-1'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052078	Arthropod Cell Line RNA Seq	SRS817523	NA	310.99	2	3542483	538457416	Solexa-205939	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238781	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1756448	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205939' containing sample 'AAE2-1'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	326092600	1759676	267470752	H7A2CADXX131213.1.tagged_851.bam	SRR1756448.sralite	67264170	2020-06-23T08:04:57Z	93e723c91c6d5aabbff0a0fc19e3cf76	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-1/SRR1756448/SRR1756448.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756448/SRR1756448.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756448/SRR1756448.sralite.1	worldwide	anonymous	gs://sra-pub-zq-3/SRR1756448/SRR1756448.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448004	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2H	RNA:Total RNA	PDO-2348	P-RNA-0001	G50973	RP-510	SM-49JMV	SM-57M2H	39145	missing	9/14/00	AAE2-1	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/008/SRR1756448/SRR1756448_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/008/SRR1756448/SRR1756448_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/008/SRR1756448/SRR1756448_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/008/SRR1756448/SRR1756448_2.fastq.gz
